NOM.OPERATEUR,CODE_EIC5.Energy.Identification.Code.,ANNEE,FILIERE,IRIS_CODE,IRIS_LIBELLE,ADRESSE..point.de.livraison.,NOM_COMMUNE,CODE_SECTEUR_NAF2_CODE,CODE_SECTEUR_NAF2_LIBELLE,CODE_GRAND_SECTEUR,CONSO,PDL,code_dep,Code Officiel EPCI,Code Officiel Commune,Nom Officiel Commune,Code Officiel Commune / Arrondissement Municipal,Nom Officiel IRIS,Nom Officiel IRIS Majuscule,Nom Officiel IRIS Minuscule,Type,Code Grand Quartier,numero
GRDF,17X100A100A00028,"2021",G,"350010102",Est,5 SQUARE DIAN FOSSEY,AcignÌ©,NA,,R,"156.48199","26",Ille-et-Vilaine,"243500139","35001",AcignÃ©,"35001",Est,EST,est,iris d'habitat,"3500101",
GRDF,17X100A100A00028,"2021",G,"350230000",BÌ©dÌ©e (commune non irisÌ©e),10 RUE JOSEPH FILAUX,BÌ©dÌ©e,"35","Production et distribution d'Ì©lectricitÌ©, de gaz, de vapeur et d'air conditionnÌ©",I,"387.31396","1",Ille-et-Vilaine,"243500550","35023",BÃ©dÃ©e,"35023",BÃ©dÃ©e (commune non irisÃ©e),BÃ‰DÃ‰E (COMMUNE NON IRISÃ‰E),bÃ©dÃ©e (commune non irisÃ©e),commune,"3502300",
GRDF,17X100A100A00028,"2021",G,"350470101",Bruz Centre Nord,7 SQUARE DE KER FLEURI,Bruz,NA,,R,"76.2099","12",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Centre Nord,BRUZ CENTRE NORD,bruz centre nord,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470101",Bruz Centre Nord,8 ALLEE DU VAU GAILLARD,Bruz,NA,,R,"124.95873","27",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Centre Nord,BRUZ CENTRE NORD,bruz centre nord,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470102",Bruz Centre Sud-Est,5 RUE JEAN MERMOZ,Bruz,NA,,R,"117.11482","16",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Centre Sud-Est,BRUZ CENTRE SUD-EST,bruz centre sud-est,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470103",Bruz Centre Sud-Ouest,9 ALLEE DES RONCERAIS,Bruz,NA,,R,"111.69329","11",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Centre Sud-Ouest,BRUZ CENTRE SUD-OUEST,bruz centre sud-ouest,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470104",Bruz Ouest,2 RUE HENRI QUEFFELEC,Bruz,NA,,R,"64.65465","15",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Ouest,BRUZ OUEST,bruz ouest,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470104",Bruz Ouest,4 RUE HENRI QUEFFELEC,Bruz,NA,,R,"89.06514","21",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Ouest,BRUZ OUEST,bruz ouest,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470104",Bruz Ouest,9 PLACE DU VERT BUISSON,Bruz,NA,,R,"81.59638","13",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Ouest,BRUZ OUEST,bruz ouest,iris d'habitat,"3504701",
GRDF,17X100A100A00028,"2021",G,"350470104",Bruz Ouest,12 AVENUE DE CEZEMBRE,Bruz,NA,,R,"92.83079","16",Ille-et-Vilaine,"243500139","35047",Bruz,"35047",Bruz Ouest,BRUZ OUEST,bruz ouest,iris d'habitat,"3504701",
